name;
boissons;
viandes;
biscuits-et-gateaux;
petits-dejeuners;
fromages;
produits-a-tartiner-sucres;
confiseries;
legumes-et-derives;
poissons;
chocolats;
pains;
patisseries;
fruits;
bonbons;
boissons-gazeuses;
cafes;
brioches;
pizzas;
eaux;
legumes-secs;
mueslis;
beurres;
jus-d-oranges;
farines;
legumes-frais;
mayonnaises;
pain-de-mie;
amandes;
crustaces;
dessserts;
